ACCOUNT NO,LATITUDE,LONGITUDE,DEMAND,START TIME,END TIME,SERVICE DURATION
0,41.019894,28.817892,0,,,
12539599,41.066134,28.905173,64.58,600,1600,10
12519152,41.117238,29.009314,14.16,700,1200,5
12520595,41.081115,29.012928,10.4,800,1500,5
12559698,40.988556,28.845516,433.98,700,1200,15
12541130,41.074817,28.920695,27.26,600,1600,15
12562133,41.004337,28.688711,23.7,900,1300,15
12556656,41.091737,28.644142,138.7,700,1200,5
12585151,40.978836,28.734922,56.54,800,900,15
12570186,41.070096,29.001642,89.71,700,1300,10
12519188,41.117051,29.040773,43.16,800,1300,15
12563692,41.040038,28.922136,354.5,800,1000,30
12533113,40.993488,28.843296,13.6,800,1600,5
12560039,40.994148,28.719115,128.67,600,1800,20
12569028,41.007861,28.977414,81.48,700,1000,10
12554129,41.004191,28.625842,23.94,900,1300,10
12561561,40.997091,28.543537,15.84,1000,1200,15
12561567,41.033479,28.533005,9.93,800,1300,15
12554156,41.017666,28.591465,40.87,900,1600,15
12519170,41.112037,29.019865,17.7,1000,1100,10
12537122,41.010404,28.814831,25,600,1600,10
12509465,41.051399,28.883216,31.02,800,1300,15
12555128,41.017053,28.645937,531.4,900,1200,10
12568582,41.075898,29.042906,64.85,800,1000,5
12591200,41.062543,28.807697,8.7,800,1500,10
12515330,41.18003,28.884717,76.88,900,1300,10
12555012,41.017146,28.651443,46,600,1200,10
12570133,41.063947,29.001497,49.83,800,1300,10
12504345,41.039879,28.881839,99.49,800,1300,15
12555054,41.016045,28.654259,78,600,1600,15
12592175,41.088231,28.901939,118.77,900,1200,25
12508361,41.06911,28.991999,3.93,700,1300,10
12556473,41.058547,28.668094,34.74,900,1600,25
12558014,40.973086,28.804103,47.8,900,1600,15
12545720,41.002699,28.81767,55.41,800,1600,10
12554050,41.025324,28.59004,16.5,800,900,15
12536051,41.042499,28.784634,45.09,600,1600,10
12588311,41.003134,28.642962,11.74,900,1300,10
12561549,41.003143,28.532329,59.09,900,1300,10
12538267,41.04159,28.819557,15.2,900,1200,15
12510629,41.132672,28.479196,108.7,700,1300,10
12503476,41.07741,29.010656,9.6,800,1000,5
12563645,41.017601,28.911105,316.13,600,1600,15
12554079,41.004082,28.625339,94.38,600,1600,15
12554097,40.983511,28.64363,54.84,600,1600,15
12561478,41.051144,28.389598,29.54,600,1600,15
12591165,41.029514,28.802099,219.05,900,1600,20
12583251,40.981777,28.794029,27.54,800,1600,10
12508166,41.067534,28.992094,113.35,900,1300,10
12585421,41.004898,28.798192,256.59,900,1200,15
12539271,41.021872,28.909233,100.5,700,1100,10
12592218,41.057566,28.80386,81.03,1200,1600,15
12541126,41.076232,28.942567,26.04,600,1600,15
12539421,41.037085,28.936025,26.4,800,1000,10
12567510,41.023073,28.976963,37.1,1000,1200,10
12539753,41.079784,28.931408,10.62,600,1600,10
12593187,41.087146,28.90763,18,800,1000,10
12558276,40.997613,28.929513,43.45,800,1300,15
12567507,41.025002,28.981594,48,600,1000,15
12569283,41.038445,28.944621,85.43,600,1600,10
12569276,41.048598,28.95069,28.64,1000,1300,30
12561566,41.003105,28.532624,6.8,800,1300,15
12588089,40.9966,28.6048,36.67,830,1200,20
12591109,41.020651,28.797022,44.75,900,1600,35
12568612,41.043528,29.004342,305.5,700,1300,15
12593059,41.095896,28.86993,34.84,1200,1600,10
12578335,41.183772,28.886611,100.05,800,1400,15
12532156,41.052558,28.834044,34.34,700,900,15
12562163,41.003564,28.701257,12.67,900,1200,10
12585438,41.004635,28.798268,43.4,800,1400,15
12564500,41.081132,29.035088,88,600,1600,15
