ACCOUNT NO,LATITUDE,LONGITUDE,DEMAND,START TIME,END TIME,SERVICE DURATION
0,41.019894,28.817892,0,,,
12560213,40.980472,28.720012,20.72,1000,1200,15
12554156,41.017666,28.591465,40.87,900,1600,15
12509416,41.068873,28.895577,150.35,800,1600,10
12564471,41.066036,29.018567,93.65,700,1200,5
12585160,40.981137,28.874061,73.64,800,1200,30
12555114,41.019829,28.64697,38.34,600,1600,15
12533096,41.001181,28.88081,40,600,1600,10
12504304,41.005901,28.888582,165.92,600,1600,5
12562095,41.003205,28.688323,124.4,900,1600,15
12576155,41.039949,28.982962,15.48,900,1200,20
12594132,41.105096,28.759139,81.98,800,1000,15
12554114,40.997453,28.626079,52.09,800,1300,10
12560156,40.998792,28.69866,84.15,900,1000,20
12519223,41.110937,29.025487,36,600,1600,15
12556460,41.057655,28.715189,20.63,800,1200,20
12566488,41.118556,29.000007,92.3,800,1200,10
12554119,41.01499,28.637229,4.61,800,1100,15
12584098,41.185986,29.039826,79.39,800,1130,20
12567476,41.033174,28.982089,28.35,1000,1200,5
12504333,41.039302,28.880883,8.5,800,1300,15
12515131,41.100826,28.979628,31.98,800,1130,10
12554134,40.987714,28.596379,68.25,1000,1400,10
12538228,41.026467,28.829062,47.08,1200,1300,15
12576382,41.016901,28.941095,27.72,600,1600,15
12561415,41.083252,28.365217,139.8,800,900,25
12554164,41.011214,28.625836,50.86,900,1300,10
12556511,41.057746,28.715042,186.78,1300,1600,15
12509477,41.051888,28.891756,37.84,800,1200,15
12561487,41.002649,28.542363,34.33,800,1300,10
12570157,41.071331,28.998575,15.47,800,1300,15
12561195,41.126306,28.429441,211,1000,1100,30
12560319,40.976718,28.695399,31.45,700,1200,5
12508313,41.06474,28.993386,339.28,800,1000,5
12592195,41.104709,28.86428,96.07,830,1400,35
12515330,41.18003,28.884717,76.88,900,1300,10
12558242,41.003639,28.931211,42.97,800,1200,10
12560120,40.99699,28.717673,194.4,700,800,20
12584009,41.033794,28.968294,138.45,800,1100,17
12576240,41.027797,28.932999,108.33,700,1200,20
12584178,41.169585,28.990828,63.97,800,1600,5
12576300,41.027023,28.948564,26.95,800,1200,20
12554190,40.994417,28.626077,21.1,800,1300,15
12562121,40.99578,28.712117,59.66,800,1200,10
12531384,40.994881,28.909621,10.5,800,1300,20
12576108,41.0672,28.9944,57.35,800,1200,40
12591107,41.013774,28.786781,53.72,800,1200,40
12569397,41.005436,28.960161,42.7,900,1300,15
12578194,41.180737,28.893871,41.2,800,1130,5
12591301,41.096604,28.792515,290.48,600,1600,20
12556636,41.088048,28.651379,29.59,900,1200,15
12535027,41.064241,28.711025,93.71,800,1000,10
12558109,41.006397,28.907432,130.91,1200,1600,5
12564516,41.077786,29.022452,28,700,1300,10
12539815,41.030046,28.863429,33.24,800,1300,15
12504320,41.015901,28.88311,186.65,600,1600,10
12519123,41.116044,29.021713,11.4,700,1200,5
12570190,41.068265,29.008907,132.7,700,1300,10
12519099,41.113091,29.021806,37.17,600,1600,15
12556340,41.047161,28.634115,88,600,1100,20
12576055,41.071114,28.998481,168.65,800,1200,15
12569274,41.002264,28.979373,63.33,800,1600,10
12584221,41.177653,28.991185,58.3,1100,1600,5
12559448,40.974082,28.868659,107.6,800,1600,10
12583363,40.959115,28.82229,165.73,800,1400,15
12570028,41.068067,29.00653,62,900,1130,15
12538301,41.043281,28.819727,28.28,800,1300,15
12510640,41.078989,28.270162,171.67,700,1200,11
12576298,41.010729,28.938293,139.2,1000,1600,10
12532548,41.038457,28.859163,84.33,600,1600,15
12561428,41.013365,28.546469,100,900,1200,15
12570147,41.059255,29.001672,9.3,800,1300,15
12564254,41.066318,29.017354,110,800,1000,10
12545014,41.001907,28.85027,99.6,600,1200,15
12520627,41.08675,29.010128,77,800,1100,5
12520720,41.077374,29.012814,15.2,800,1000,5
12535183,41.07648,28.663538,17,900,1300,15
12542066,41.006745,28.924591,43.65,600,1600,15
12591190,41.108603,28.809602,117.9,900,1600,25
12564303,41.080705,29.03531,8.4,700,1200,5
12554009,40.991706,28.628402,93.33,600,1800,15
12548104,41.038736,28.670961,76.5,700,1200,10
12568511,41.043255,29.004562,103.92,700,1000,10
12508228,41.065665,28.995084,157.22,700,900,20
12545767,40.99426,28.843988,24.88,800,1400,15
12519192,41.117254,29.009314,241.9,800,1300,15
12564308,41.085155,29.04509,50.81,600,1600,10
12578296,41.181383,28.889322,31.85,900,1100,5
12568299,41.051725,28.991544,6.98,900,1200,5
12560309,40.981861,28.721151,150.98,900,1200,10
12541107,41.078413,28.935834,9.6,900,1400,10
12535054,41.063039,28.685935,87.43,800,1600,10
12536049,41.040633,28.771069,126.05,800,1200,15
12567467,41.032617,28.983747,85.37,800,1000,5
12583252,40.98547,28.831387,51.75,900,1200,20
12520581,41.096769,29.019222,137.65,700,1400,10
12548127,41.019501,28.654239,55.65,700,1400,15
12592376,41.056999,28.803917,246.38,800,1000,20
12532308,41.048078,28.811291,271.96,1000,1600,15
12566516,41.117099,29.003679,14.16,600,1600,15
12558255,41.000744,28.913185,80.38,800,1300,15
12569253,41.007074,28.954146,271.01,700,1000,15
12579365,41.057612,28.980112,76.71,1000,1200,5
12542052,41.005377,28.929316,22.89,600,1600,15
12585166,41.002828,28.781858,43.83,900,1600,30
12567514,41.034817,28.980697,65.55,900,1100,10
12570129,41.07217,29.000287,8.33,800,1000,10
12548050,41.034066,28.678631,675.99,1000,1300,15
12564513,41.075589,29.019303,115.05,700,1300,10
12520731,41.086064,29.004582,19.78,800,1300,15
12556663,41.058211,28.668834,26.4,900,1300,10
12539422,41.023782,28.909997,64,600,1000,10
12592188,41.090672,28.937214,87.76,900,1400,20
12508319,41.04377,29.002209,241.85,800,1000,5
12554171,41.002541,28.632345,14.4,900,1300,10
12578122,41.083597,29.003692,92.86,800,1100,20
12567508,41.035125,28.984243,13.06,900,1100,10
12557632,41.068575,28.620096,24.98,600,1600,15
12566393,41.090852,28.997987,171.76,800,1100,10
12569176,41.053862,28.959734,119.65,500,800,10
12594116,41.126787,28.774546,125.46,1200,1600,15
12542078,41.011765,28.938999,23.41,700,1400,15
12576391,41.01208,28.940074,209.22,700,1500,15
12558260,40.992763,28.896634,18.35,600,1600,15
12561559,41.010958,28.60322,15.38,900,1300,10
12545676,41.010157,28.843736,51,600,1600,15
12591191,41.10935,28.788351,117.44,800,1200,25
12563461,41.047714,28.922024,52.05,600,800,10
12564515,41.084557,29.026819,24.51,700,1300,10
12534021,41.068411,28.895813,15.34,600,1600,10
12549562,40.992798,28.625305,65.33,800,1300,15
12558283,40.984904,28.895477,168.13,600,1600,15
12568428,41.045505,29.000376,135,600,800,10
12510631,41.142827,28.464379,92.65,700,1300,10
12588193,40.969027,28.674874,349.75,800,900,30
12564511,41.075359,29.019866,22.8,700,1300,15
12532262,41.036228,28.856893,894.94,700,1600,45
12537119,41.017346,28.841755,11.13,800,1300,10
12593175,41.108027,28.876076,419.05,600,1600,15
12583423,40.996348,28.79721,77.4,600,1600,15
12556164,40.968181,28.674514,1088,730,830,35
12519211,41.113164,29.030781,77.74,600,1600,15
12569402,41.006418,28.978748,60.6,600,900,20
12583389,40.987827,28.796013,30.11,600,1600,15
12510658,41.043231,28.837832,12,700,1200,5
12555054,41.016045,28.654259,78,600,1600,15
12541124,41.078871,28.961017,30.06,600,1600,15
12519201,41.11358,29.05318,16.4,700,1300,10
12559741,40.975881,28.875278,87.72,800,1000,20
12561420,41.072987,28.250699,64.54,1100,1200,10
12566291,41.099322,28.993289,62.88,800,1400,5
12592194,41.103629,28.897334,75.15,830,1400,35
12564119,41.085383,29.046279,200.42,800,1300,5
12559650,40.990775,28.830775,31.5,800,1600,15
12503481,41.079377,29.006502,124.12,600,1600,15
12584379,41.142553,29.029813,26.31,600,1600,15
12576447,41.014294,28.935295,21.48,1000,1500,15
12563595,41.038844,28.929865,64.97,800,1400,20
12558211,40.986762,28.904319,38.84,700,1200,15
12509294,41.066335,28.894809,76.92,1100,1600,10
12535059,41.069696,28.684417,76.5,800,1600,6
12578377,41.161844,28.608598,34.33,900,1300,15
12568207,41.104886,29.056494,11.41,800,1300,10
12536110,41.029531,28.768027,81.06,800,1400,15
