ACCOUNT NO,LATITUDE,LONGITUDE,DEMAND,START TIME,END TIME,SERVICE DURATION
0,41.019894,28.817892,0,,,
12537183,41.006039,28.849303,51.25,600,1600,15
12588157,40.982036,28.671956,94.54,1100,1300,20
12555143,41.00953,28.659812,10.2,700,1200,5
12510656,40.980838,28.734175,25.75,800,1300,15
12508363,41.061297,28.987258,37.5,700,1300,10
12508058,41.071703,28.980258,5.94,700,1000,15
12564303,41.080705,29.03531,8.4,700,1200,5
12570015,41.069793,28.990435,56.99,1300,1430,15
12563464,41.038346,28.932388,400,900,1000,20
12556508,41.057835,28.729092,78.32,1300,1600,15
12583220,40.988896,28.780682,460,800,1600,20
12554150,41.008085,28.624249,21.95,900,1200,10
12515277,41.07902,28.958945,93.71,600,1600,5
12564203,41.058579,29.030771,101.33,800,1200,20
12541121,41.080742,28.95159,106.5,800,1200,15
12591214,41.113973,28.768181,34.65,600,1400,15
12566424,41.090888,29.005186,54.9,800,1000,10
12578258,41.116219,29.020021,147.48,900,1400,10
12568577,41.039274,29.002669,46.8,800,900,5
12556476,41.181012,28.611746,30.17,800,1200,30
12560243,40.980345,28.731845,46.89,600,1600,15
12539827,41.045297,28.869921,56.16,700,1400,15
12585002,41.077417,28.933728,118.12,900,1400,20
12592376,41.056999,28.803917,246.38,800,1000,20
12504192,41.034787,28.867446,13.75,600,1600,10
12568486,41.049752,29.002085,25,900,1200,20
12554002,40.997672,28.629631,133.2,800,930,10
12568512,41.047469,29.007912,40,800,1200,15
12541081,41.051774,28.929598,120,800,1000,10
12568454,41.049608,29.006473,92.9,1000,1200,20
12504355,41.012788,28.888029,53.71,800,1400,10
12503414,41.078294,29.008115,19.25,1200,1500,15
12568613,41.048348,29.00605,14.4,700,1300,10
12568588,41.055924,29.034597,8,800,1300,10
12568601,41.07606,29.042999,15.3,800,1300,15
12532245,41.035549,28.893891,60.9,600,1600,10
12509434,41.065764,28.838166,59.37,600,1600,10
12556313,41.018575,28.66178,80.23,600,1200,15
12554050,41.025324,28.59004,16.5,800,900,15
12591407,41.102527,28.786695,41.62,600,1600,15
12561547,41.009777,28.528907,191.25,700,1200,5
12568513,41.04377,29.004125,9.36,700,900,10
12560322,40.987456,28.69879,22.28,900,1300,10
12576145,41.056939,28.98095,88.09,900,1200,15
12561509,41.018824,28.596127,12.62,800,1200,10
12569297,41.023682,28.97739,27.77,800,1600,10
12568552,41.060493,29.011352,139.01,800,1000,5
12583446,40.964215,28.799801,49.5,800,1300,15
12584380,41.178542,28.989887,179,600,1600,15
12550166,41.087196,28.206141,100.8,900,1300,10
12537161,41.018133,28.870422,10.8,930,1200,15
12583251,40.981777,28.794029,27.54,800,1600,10
12532571,41.019684,28.859007,49.97,1000,1600,15
12588190,40.996727,28.647838,6.6,1030,1200,10
12503240,41.073403,29.020422,27.23,1000,1500,5
12558130,41.006547,28.931031,101.08,700,1200,15
12576382,41.016901,28.941095,27.72,600,1600,15
12578162,41.083039,28.989572,47.09,800,1300,15
12537152,41.017881,28.842186,65.32,1200,1800,10
12568574,41.054696,29.022622,53.56,600,1600,10
12557558,41.021768,28.687811,23.45,1000,1200,20
12584348,41.128988,29.046668,78.22,600,1600,15
12583187,41.003118,28.838679,33.28,900,1500,40
12583439,40.978424,28.819252,7854.75,800,1000,60
12579286,41.039047,28.985658,10.8,800,1000,5
12576449,41.012228,28.935708,21.04,1000,1300,15
12556641,41.070289,28.640424,23.31,600,1600,15
12531400,40.995843,28.886005,266.65,900,1200,10
12562077,41.010564,28.710832,29.93,700,1300,15
12561503,41.014705,28.530729,492.73,700,1200,15
12509411,41.056717,28.876288,60.05,800,1300,15
12501855,41.044002,28.958294,57.82,700,1200,10
12556511,41.057746,28.715042,186.78,1300,1600,15
12561421,41.05457,28.378419,136.91,800,900,10
12570123,41.067409,28.990994,106.31,900,1200,6
12588291,41.00345,28.644494,38.67,800,1300,10
12584287,41.186001,29.042764,90.89,600,1600,15
12560311,40.979174,28.726094,54.39,1000,1300,10
12532584,41.03021,28.86556,86,600,1600,10
12568614,41.043637,29.003893,5,700,1300,10
12557358,40.975664,28.798281,9.82,800,1600,10
12519222,41.114103,29.021645,29.76,700,1300,10
12562164,41.004245,28.688588,137.5,700,1200,5
12532328,41.04822,28.855421,99.82,700,1600,10
12538123,41.030492,28.828725,84.05,1200,1400,15
12556319,41.047053,28.634119,404.5,700,900,22
12576443,41.017208,28.950837,11.42,900,1300,15
12568546,41.043268,29.004047,40.5,800,1000,5
12563488,41.04866,28.931637,307.8,600,1000,20
12584079,41.042956,28.997692,20.61,800,1500,10
12556656,41.091737,28.644142,138.7,700,1200,5
12504349,41.06061,28.846502,1425,800,1000,30
12585380,41.007591,28.798583,297.62,800,1200,15
12554184,41.015389,28.627002,11.2,700,1200,5
12576442,41.010906,28.943487,51.34,1000,1300,15
12554156,41.017666,28.591465,40.87,900,1600,15
12592323,41.055958,28.777485,59.5,700,900,15
12588040,41.002573,28.653932,18.7,800,900,10
12538300,41.036994,28.823577,26.8,1100,1400,15
12515319,41.092347,28.97518,9.6,800,1300,15
12558211,40.986762,28.904319,38.84,700,1200,15
12576125,41.056733,28.981697,101,900,1100,18
12583423,40.996348,28.79721,77.4,600,1600,15
12539257,41.02248,28.910214,75.75,600,1000,15
12562082,40.998727,28.709154,67.55,600,1600,15
12576447,41.014294,28.935295,21.48,1000,1500,15
12510640,41.078989,28.270162,171.67,700,1200,11
12588193,40.969027,28.674874,349.75,800,900,30
12588164,41.017437,28.626659,35.62,800,930,10
12548112,41.020968,28.67146,10.23,900,1300,15
12585431,41.014817,28.795438,438.2,700,1200,5
12509496,41.060383,28.891176,64.46,600,1600,15
12579138,40.990184,28.900244,29.87,800,1400,15
12579385,41.056097,28.985483,54.2,900,1300,15
12548013,41.012451,28.6709,105.45,830,1200,15
12557695,41.051083,28.631955,2230.38,700,1200,15
12503100,41.070232,28.99953,89.1,900,1100,5
12519209,41.120103,29.00819,52.4,600,1600,10
12566471,41.1141,28.99924,30.98,800,1500,10
12532647,41.037379,28.860695,35.34,600,1600,15
12588293,41.007456,28.657263,14.7,900,1300,10
12567505,41.031755,28.975629,22.77,800,1300,15
12563535,41.027962,28.908827,13.46,700,1500,10
12568535,41.047243,29.00716,14.16,800,1000,10
12560256,40.977206,28.719252,12.87,800,1600,7
12561554,41.013968,28.547072,7.34,900,1300,10
