ACCOUNT NO,LATITUDE,LONGITUDE,DEMAND,START TIME,END TIME,SERVICE DURATION
0,41.019894,28.817892,0,,,
12539824,41.046002,28.874202,46.28,600,1600,15
12534090,41.074688,28.887726,31.53,600,1600,15
12562164,41.004245,28.688588,137.5,700,1200,5
12564302,41.066564,29.015855,43.25,700,1200,5
12579286,41.039047,28.985658,10.8,800,1000,5
12545529,41.005756,28.845602,33.63,600,1600,15
12575009,40.957669,28.819567,39.55,700,1200,16
12589070,41.063303,28.679122,31.08,850,1300,15
12585323,40.987811,28.779394,75.76,800,1700,20
12559574,40.977552,28.872459,219.55,800,1200,15
12538296,41.023874,28.825929,34.44,600,1600,10
12556310,41.063153,28.673427,121.4,700,1250,5
12538302,41.043169,28.83037,55.57,800,1100,10
12583182,41.03055,28.91844,27828.55,800,1230,30
12501875,41.063952,28.967359,11.6,600,700,15
12559733,40.991234,28.83529,66.25,800,1300,15
12556192,41.040441,28.634421,81,600,1400,15
12555115,41.022716,28.634433,75.16,600,1600,15
12562071,40.995763,28.70642,77.96,800,1400,15
12509406,41.057856,28.854924,205.43,800,1600,10
12537140,41.011663,28.814565,84.5,600,1600,10
12563649,41.039751,28.92125,245.98,600,1600,10
12508330,41.051066,29.025444,100.48,1200,1400,5
12567476,41.033174,28.982089,28.35,1000,1200,5
12564068,41.076761,29.027995,118.05,800,1300,5
12542060,41.006991,28.942168,94.05,600,1600,15
12576442,41.010906,28.943487,51.34,1000,1300,15
12520708,41.078269,29.012352,119.58,700,1200,5
12561362,41.019801,28.589602,44.4,900,1100,10
12568572,41.047918,29.007451,57.02,600,1600,10
12554102,41.018471,28.587932,57.05,600,1600,15
12548005,41.005601,28.683564,582,800,1100,15
12509453,41.043359,28.880305,205.52,800,1300,15
12593131,41.132338,28.834847,12.14,600,1600,15
12533159,41.009776,28.880013,260.5,800,1000,20
12520747,41.082874,29.001517,81,700,1300,10
12520373,41.109364,29.021758,100,600,1600,5
12567474,41.029636,28.988159,126.41,1100,1200,15
12578203,41.115936,28.970503,475.5,600,1400,20
12569365,41.01086,28.959194,83.25,700,1000,10
12578144,41.07905,29.000053,43.63,800,1100,45
12591104,41.056636,28.789242,79.34,900,1600,25
12569388,41.010657,28.961854,167.44,900,1200,10
12508228,41.065665,28.995084,157.22,700,900,20
12564502,41.075736,29.042977,9.9,700,1300,10
12532595,41.056142,28.839783,42,600,1600,10
12578296,41.181383,28.889322,31.85,900,1100,5
12567405,41.08327,28.977421,628.79,600,1000,10
12563535,41.027962,28.908827,13.46,700,1500,10
12508203,41.068228,28.992188,8.4,800,1200,25
12533043,41.002454,28.864614,92.83,600,1600,15
12570129,41.07217,29.000287,8.33,800,1000,10
12579185,41.052647,28.992095,148.31,800,1000,40
12556664,41.060816,28.676555,14.16,900,1200,10
12533164,41.004512,28.866744,224.33,800,1000,26
12537176,41.002703,28.852088,17.64,600,1300,15
12579091,41.036594,28.88775,56.24,1000,1500,20
12504353,41.017293,28.897565,58.33,600,1600,15
12593039,41.099955,28.867091,48.28,1200,1600,10
12563646,41.050225,28.929717,209.18,600,1600,15
12504322,41.005317,28.888878,21.24,900,1100,15
12578258,41.116219,29.020021,147.48,900,1400,10
12563681,41.016489,28.903779,312.5,600,1600,15
12539422,41.023782,28.909997,64,600,1000,10
12560192,40.981536,28.724139,53.44,800,900,15
12591218,41.098852,28.792332,43.37,800,1400,10
12558235,41.007555,28.905214,16,600,1200,15
12592271,41.045689,28.783133,21,900,1700,20
