ACCOUNT NO,LATITUDE,LONGITUDE,DEMAND,START TIME,END TIME,SERVICE DURATION
0,41.019894,28.817892,0,,,
12564064,41.080839,29.026845,62.79,700,1100,10
12562141,41.000907,28.698957,90.93,1000,1500,10
12532482,41.033334,28.863334,240.6,900,1600,15
12545870,40.999411,28.8301,382.5,800,1300,5
12566471,41.1141,28.99924,30.98,800,1500,10
12534005,41.068687,28.895468,80.88,800,1400,15
12545442,41.010246,28.830143,136.27,900,1500,35
12593190,41.099879,28.880179,36,900,1200,10
12568573,41.059965,29.006701,43.76,600,1600,10
12558288,40.994275,28.904285,51.12,800,1300,15
12557700,41.03611,28.64596,4.8,800,1300,10
12588230,40.987393,28.647181,102.53,900,1000,15
12534008,41.081043,28.894226,734.96,600,1600,10
12554073,41.018781,28.58727,253.08,800,1200,15
12576441,41.024612,28.940312,16.61,1000,1300,15
12548121,41.043982,28.664298,129.72,900,1300,10
12503150,41.065987,29.002982,70.25,900,1200,10
12570068,41.059078,28.990465,11.7,600,1600,15
12570157,41.071331,28.998575,15.47,800,1300,15
12567241,41.035008,28.978097,469.53,650,1000,15
12570140,41.067707,28.998657,11.88,800,1300,10
12591191,41.10935,28.788351,117.44,800,1200,25
12538136,41.056399,28.823286,283.75,1000,1600,15
12591331,41.069929,28.804929,633.45,900,1200,16
12561456,40.993143,28.543628,6,700,1300,15
12579185,41.052647,28.992095,148.31,800,1000,40
12593112,41.099534,28.865485,551.75,800,1200,15
12532122,41.0341,28.8562,53.34,700,1600,15
12515319,41.092347,28.97518,9.6,800,1300,15
12569223,41.031626,28.967039,36.27,800,1200,20
12576422,41.016724,28.942208,169.51,800,1300,15
12556340,41.047161,28.634115,88,600,1100,20
12569283,41.038445,28.944621,85.43,600,1600,10
12504213,41.035093,28.881629,47.6,700,800,15
12568047,41.048856,29.000505,120,600,1600,15
12555081,41.020248,28.649383,50.9,800,1400,20
12583460,40.966488,28.797096,43,800,1300,15
12567435,41.044391,29.00704,20.87,800,1200,15
12592271,41.045689,28.783133,21,900,1700,20
12533175,41.012816,28.828353,83,800,1000,5
12576450,41.014725,28.940444,11.09,1000,1400,15
12509450,41.059744,28.896566,42.04,600,1600,10
12549560,41.038118,28.82044,10.88,800,1000,20
12545176,41.019411,28.849908,60.08,600,1600,15
12563627,41.033733,28.900985,43.23,1000,1800,15
12539817,41.01965,28.857794,85.75,800,1300,15
12579321,41.051345,28.987078,396.83,800,900,5
12588328,41.137659,28.464411,47.11,800,1700,15
12555054,41.016045,28.654259,78,600,1600,15
12556596,41.141197,28.639437,36.26,600,1600,15
12510623,41.032533,28.451485,9.1,900,1300,10
12545581,41.010083,28.815716,14.4,900,1500,10
12568523,41.045792,29.002794,85.68,800,1100,10
12534053,41.073143,28.913655,58.4,600,1600,15
12508203,41.068228,28.992188,8.4,800,1200,25
12584364,41.139087,29.054122,64.05,800,1300,10
12531423,41.006362,28.931487,35.51,1000,1200,5
12591020,41.067911,28.904322,34.74,700,1400,15
12584344,41.128003,29.047097,105.33,600,1600,10
12576440,41.02003,28.935783,125.21,800,1000,30
12561526,41.032911,28.550346,11,800,1600,15
12561511,41.143163,28.466864,22.3,1000,1400,10
12566489,41.098384,28.986486,24.1,700,1300,10
12561473,41.03526,28.445735,28.33,600,1600,15
12593211,41.08702,28.902257,50.4,1000,1300,15
12533016,41.009801,28.875147,15.16,900,1400,30
12538241,41.034878,28.84178,29.83,600,1600,10
12557541,41.018764,28.696163,113.2,630,1800,15
12539597,41.087774,28.92536,12.6,830,1400,20
12563538,41.042021,28.919073,51.93,600,1600,10
12555149,41.019148,28.633456,9.75,900,1300,10
12535036,41.088567,28.65263,618.5,600,1600,15
12576125,41.056733,28.981697,101,900,1100,18
12533123,40.99787,28.847152,9.6,700,1200,5
12588071,41.017394,28.5915,54.35,900,1030,20
12520427,41.1186,29.051003,45.33,800,1000,10
12515330,41.18003,28.884717,76.88,900,1300,10
12520753,41.084193,29.004582,74.47,700,1300,10
12545571,40.998725,28.829056,43.2,900,1500,10
12538179,41.046341,28.822682,56.18,700,900,15
12567437,41.036337,28.984912,23.6,600,800,15
12576087,41.034883,28.984706,76.49,1000,1300,13
12583417,40.990792,28.797959,496.65,600,1600,15
12504266,41.035414,28.883595,97.75,600,1600,5
12584337,41.17295,29.051624,58.78,800,1300,10
12519112,41.106584,29.044812,63.22,600,1600,15
12534066,41.073528,28.904191,25.67,900,1100,5
12583401,40.987603,28.825226,111.6,600,1200,15
12584346,41.234758,29.109529,207.95,600,1600,15
12593118,41.092976,28.864112,8.85,600,1600,10
12533148,41.013297,28.877796,107.45,600,1600,15
12538302,41.043169,28.83037,55.57,800,1100,10
12562135,40.998,28.705727,102.86,900,1200,10
12592319,41.045688,28.788029,15,600,1600,15
12519031,41.10903,29.02366,275.9,800,1400,10
12537146,41.019237,28.859351,30.43,1200,1600,15
12584115,41.173195,29.051349,60.05,800,1500,20
12584126,41.189312,29.045169,30.4,800,1600,5
12563653,41.04513,28.907687,14.4,600,1600,15
12560261,40.989226,28.711745,174.53,800,1200,10
12588073,40.996661,28.618589,92.47,1000,1200,15
12539544,41.075234,28.942371,56.4,630,1600,10
12583384,40.976116,28.797626,1293.15,600,1600,15
12561100,40.9935,28.7126,40,800,1100,8
12508347,41.055939,28.983023,28.57,800,1600,15
12566233,41.085864,29.008189,97.13,600,1200,5
12568610,41.047895,29.005885,7,700,1300,15
12548059,41.039992,28.661718,112.53,900,1300,15
12564085,41.08684,29.049332,116.91,800,1100,10
12533121,40.99529,28.84763,197.34,600,1600,10
12559406,40.977695,28.870912,127.5,900,1200,20
12501872,41.068419,28.974181,33.35,700,1000,10
12535168,41.060976,28.704898,63.79,700,1200,5
12557697,41.073196,28.637739,509.75,700,1200,12
12567173,41.029703,28.975317,5,600,1000,12
12570168,41.06818,28.99863,32.75,800,1300,15
12531442,41.0292,28.945911,93.01,700,1200,20
12588078,41.0053,28.6527,48.01,900,1000,15
12591105,41.031228,28.828425,42.08,900,1600,20
12554168,41.017807,28.626338,609.13,600,1600,15
12515202,41.081179,28.89429,45.9,600,800,10
12576300,41.027023,28.948564,26.95,800,1200,20
12566163,41.175294,28.894747,38.1,800,1400,15
12568619,41.048578,28.99952,25.25,700,1300,10
12509496,41.060383,28.891176,64.46,600,1600,15
12504334,41.035994,28.874337,140.08,600,1600,10
12538301,41.043281,28.819727,28.28,800,1300,15
12508300,41.061929,28.98755,295.09,800,1000,10
12568570,41.054805,28.985039,49.56,800,1000,5
12579224,41.04846,28.990376,269.1,800,1700,10
12545737,41.004104,28.843269,120,700,1000,15
12567420,41.066266,29.006442,31.5,800,1100,15
12562172,41.003906,28.710866,14.47,800,1300,15
12594060,41.107828,28.757536,108.68,600,1600,15
12555114,41.019829,28.64697,38.34,600,1600,15
12568590,41.04911,29.002577,17.25,800,1300,10
12509234,41.085346,28.881697,4.8,700,1100,15
12533156,40.998707,28.842555,292.38,800,1300,15
12557578,41.032723,28.681955,17,600,1600,15
12593209,41.086781,28.902522,33.75,1000,1300,15
12509416,41.068873,28.895577,150.35,800,1600,10
12569242,41.052997,28.990713,32.16,600,1000,5
12557679,41.056635,28.632076,62.5,700,1100,10
12557703,41.05684,28.627049,1504.8,600,1600,15
12558103,40.991739,28.898633,67.89,800,1200,30
12501860,41.071406,28.981678,24.29,900,1200,10
12535047,41.074168,28.728377,69.9,600,1600,15
12561432,41.073817,28.243564,23.73,1130,1230,10
12557674,41.03306,28.628661,1191,800,1000,15
12585151,40.978836,28.734922,56.54,800,900,15
12554086,41.005567,28.621457,24,700,1300,15
12509445,41.052491,28.875013,39.24,600,1600,15
12536015,41.03439,28.783502,125.22,600,1600,20
12508348,41.06474,28.993132,84.75,700,1300,15
12583447,40.992454,28.795159,68.25,800,1300,15
12519145,41.115061,29.02445,221.81,700,1200,5
12589066,41.063772,28.704936,77.05,800,1200,30
12504039,41.053011,28.836233,66.2,700,1600,10
12504194,41.043478,28.87574,50.35,600,1000,5
12556605,41.059821,28.661704,391.8,900,1100,15
12504333,41.039302,28.880883,8.5,800,1300,15
12579386,41.046284,28.95831,120.27,900,1300,15
12504178,41.01549,28.878465,202.7,600,1600,5
12585384,41.000553,28.792449,59.5,700,900,15
12537181,41.015661,28.837388,11.93,800,1300,15
12509460,41.06203,28.888733,82.05,800,1200,15
12538073,41.040014,28.831129,11.08,700,1600,15
12537185,41.010398,28.814799,47,1000,1200,30
12532649,41.035065,28.855887,67.47,1000,1400,15
12564466,41.085386,29.046996,195.35,700,1200,5
12578132,41.082222,28.973897,88.61,900,1100,30
12520764,41.0866,29.005122,45.99,700,1300,10
12545510,41.005595,28.845798,21.1,600,1600,15
12594048,41.124628,28.765893,59.4,800,1000,15
12554142,41.024335,28.593888,16,900,1300,10
12508275,41.063347,28.992514,25.96,800,1000,10
12579254,41.052991,28.994289,164.98,800,1200,5
12534021,41.068411,28.895813,15.34,600,1600,10
12531400,40.995843,28.886005,266.65,900,1200,10
12557704,41.054857,28.628391,1540,700,1200,5
12568496,41.048103,29.001637,15.63,900,1400,20
12545301,41.021863,28.839365,120.6,600,1600,20
12567504,41.03189,28.976099,46.42,900,1300,15
12549441,40.991802,28.627037,27.44,700,1200,5
12567510,41.023073,28.976963,37.1,1000,1200,10
12562130,40.979176,28.747655,137.18,600,1600,10
12558215,40.986511,28.904322,194.61,700,1200,15
12558260,40.992763,28.896634,18.35,600,1600,15
12515281,41.180386,28.894031,50.18,600,1600,10
12554141,40.994488,28.630555,31,800,1200,10
12556205,40.982849,28.725637,6,600,1600,5
12592290,41.042047,28.786371,99.42,600,1600,10
12592372,41.041098,28.790228,24.9,900,1300,15
12567516,41.034199,28.97992,9.9,1100,1200,5
12563668,41.016906,28.906186,44.28,800,1400,15
12538071,41.027774,28.822997,87.48,700,1600,15
12578203,41.115936,28.970503,475.5,600,1400,20
12568513,41.04377,29.004125,9.36,700,900,10
12561477,41.080934,28.258337,12.29,600,1600,15
12568524,41.055749,29.034573,31.5,800,1700,10
12579349,41.057996,28.982798,22.92,800,1000,5
12569394,41.018079,28.968726,38.94,800,1100,15
12508352,41.073092,28.992112,173.33,600,1600,15
12576364,41.016552,28.95292,50,600,1600,15
12545597,40.997294,28.848403,83.41,1000,1400,30
12549042,40.990475,28.629609,1041.75,600,1600,15
12556473,41.058547,28.668094,34.74,900,1600,25
12534087,41.080864,28.89391,282.95,600,900,15
12566501,41.090638,29.005001,112.66,700,1300,10
12576382,41.016901,28.941095,27.72,600,1600,15
12519223,41.110937,29.025487,36,600,1600,15
12559729,40.996975,28.873068,69.31,800,1300,15
12576381,41.006913,28.972465,117.91,600,1600,15
12559435,40.985041,28.840957,44.55,800,1600,15
12594022,41.184712,28.741648,12.25,700,1200,15
12583281,40.96482,28.843938,21.12,900,1600,10
12584348,41.128988,29.046668,78.22,600,1600,15
12060419,41.074922,28.654838,2619.3,700,1200,30
12533143,40.992725,28.842913,15.73,900,1200,15
12585013,41.113469,28.996942,240.96,900,1500,5
12556452,41.153099,28.618934,17.97,600,1200,20
12583400,40.978282,28.794373,229.9,700,1200,15
12567456,41.032129,28.983212,29.21,1000,1200,10
12535178,41.091517,28.646309,18.45,900,1300,15
12508330,41.051066,29.025444,100.48,1200,1400,5
12533146,41.001973,28.873721,24.77,800,1200,15
12558107,41.009753,28.914743,94.07,1200,1600,5
12570175,41.072684,29.002234,22.93,700,1300,10
12523106,41.087457,28.651003,38,700,1600,15
12537101,41.014846,28.823591,22.85,600,1600,15
12558016,40.981121,28.79493,49.21,800,1600,10
12563299,41.044266,28.896095,25.5,800,1600,5
12556369,41.149231,28.62788,263.15,600,1100,60
12539821,41.039079,28.874624,72.83,600,1600,15
12583466,40.965897,28.797705,42.9,1000,1100,30
12591089,41.050164,28.784436,141.54,900,1600,50
12591308,41.072582,28.81053,66.67,600,1600,20
12594027,41.183498,28.741596,43.98,800,1200,20
12568605,41.059176,29.025155,17.21,1000,1300,10
12558120,40.974585,28.869367,111.58,800,1600,10
12556523,41.057233,28.658524,187.5,700,1100,15
12584242,41.17668,29.054416,29.6,700,1600,15
12576247,41.014539,28.944726,6.6,800,1300,20
12569361,41.008294,28.973763,47.38,800,1000,10
12563411,41.082459,28.892289,744.78,600,1100,45
12568294,41.080734,29.035668,13.2,650,1100,5
12560319,40.976718,28.695399,31.45,700,1200,5
12509446,41.055667,28.870955,219.46,800,1200,15
12535179,41.062102,28.710114,51,1000,1400,15
12564471,41.066036,29.018567,93.65,700,1200,5
12564006,41.086022,29.008485,10.43,600,1200,5
12548099,41.020477,28.674335,21.33,700,1200,10
12583196,41.0354,28.903733,48.24,830,1200,20
12539823,41.050553,28.861697,81.89,600,1000,15
12541075,41.0759,28.923023,15.5,800,1000,10
12566452,41.090606,29.004416,35.46,700,1200,5
12520643,41.087023,29.005729,16.8,600,1300,20
12519105,41.11537,29.020751,41.34,600,1600,15
12548134,41.054624,28.635812,5,700,1200,5
12508166,41.067534,28.992094,113.35,900,1300,10
12532652,41.052911,28.830114,50.74,1200,1600,15
12588069,41.034531,28.680453,19.05,800,1200,15
12532013,41.021379,28.866786,20.85,600,1600,5
12557652,41.069112,28.620263,72.05,800,1600,5
12548060,41.020222,28.657697,53.53,800,1300,15
12515328,41.177705,28.887018,16.95,1100,1400,10
12585369,40.992371,28.779151,67.29,800,1200,15
12508365,41.065033,28.993592,158.4,700,1300,10
12532634,41.048626,28.839283,57.8,700,900,15
12541127,41.076703,28.937616,44.58,600,1600,10
12556670,41.089246,28.643128,181.75,700,1200,5
12509448,41.060896,28.899103,172.84,900,1100,10
12509344,41.04601,28.896068,126.3,600,1600,20
12539755,41.060889,28.913807,238.71,600,1600,10
12509325,41.084778,28.882091,56.93,1300,1600,10
12532642,41.031857,28.843616,23.49,1000,1300,15
12515239,41.071671,28.980156,112.46,600,1200,10
12535088,41.081898,28.683798,149.4,600,1600,10
12555086,41.01951,28.650512,29.6,600,1600,15
12557538,41.016668,28.646325,192.7,600,1600,20
12519149,41.113599,29.017191,49.2,600,1600,10
12568428,41.045505,29.000376,135,600,800,10
12557528,41.001755,28.694441,4892.93,530,700,75
12584184,41.127922,29.042616,109.75,800,1200,5
12539543,41.07626,28.901403,31.46,700,1500,10
12591346,41.088141,28.805057,283.5,700,900,15
12556516,41.078769,28.752251,80.1,1300,1600,15
12583191,41.010803,28.84159,56.3,900,1500,35
12592280,41.044793,28.778944,218.33,600,1600,20
12533162,40.992893,28.853535,400.83,800,1000,10
12585178,40.983559,28.872285,147.94,800,1200,30
12508364,41.068484,28.99242,26.59,700,1300,10
12576439,41.023575,28.960297,72.28,800,900,30
12515245,41.072789,28.986852,32.53,600,1600,15
12501008,41.079706,29.006897,18.59,800,1000,5
12579135,41.007522,28.905266,70.27,800,1200,10
12592373,41.040723,28.790038,42.31,1000,1200,15
12583454,40.958309,28.821225,134.29,800,1300,15
12534001,41.081153,28.894309,12,600,800,10
12593212,41.107322,28.859979,46.34,1030,1200,10
12576451,41.022252,28.945122,212.44,800,1000,20
12558130,41.006547,28.931031,101.08,700,1200,15
12570003,41.060946,29.006647,86.63,800,1000,15
12558219,40.995864,28.886081,177.5,700,1600,15
12541092,41.058464,28.927005,32.8,900,1100,5
12570142,41.061024,29.007212,24.31,800,1300,10
12578123,41.091003,28.996728,162.46,900,1500,30
12578212,41.101329,28.862886,60.38,1000,1300,15
12519181,41.110638,29.032159,36.6,800,1300,15
12541060,41.07558,28.946513,115.83,530,1430,10
12569380,41.008233,28.976327,38.75,800,1300,10
12564291,41.067844,29.045282,330.62,700,1200,5
12585185,41.002922,28.790661,36.43,900,1600,25
12533129,40.995718,28.847507,214.65,700,1200,10
12545662,41.006464,28.821466,50.4,600,1600,5
12560256,40.977206,28.719252,12.87,800,1600,7
12508309,41.071326,28.99189,67.4,600,1600,15
12535058,41.063961,28.712145,18.08,800,1400,10
12535095,41.057305,28.716778,96.93,600,1600,10
